Name,HÖHE,Layer,Position X,Position Y,Position Z,NUMMER
HP_FERTIG_OBERKANTE,51.67,HÖHEN,4462762.7500,5794138.3660,51.8110,
HP_FERTIG_OBERKANTE,51.70,HÖHEN,4462761.7700,5794138.7680,51.8360,
HP_FERTIG_OBERKANTE,51.68,HÖHEN,4462764.4510,5794134.1050,51.8220,
HP_FERTIG_OBERKANTE,51.68,HÖHEN,4462762.6450,5794136.5520,51.8240,
HP_FERTIG_OBERKANTE,51.67,HÖHEN,4462759.8930,5794138.3610,51.8130,
HP_FERTIG_OBERKANTE,51.72,HÖHEN,4462756.3260,5794136.0140,51.8610,
HP_FERTIG_OBERKANTE,51.75,HÖHEN,4462754.5875,5794136.9996,51.8920,
HP_FERTIG_OBERKANTE,51.72,HÖHEN,4462758.8240,5794137.7200,51.8580,
HP_FERTIG_OBERKANTE,51.70,HÖHEN,4462756.8070,5794134.1580,51.8450,
HP_FERTIG_OBERKANTE,51.69,HÖHEN,4462761.9960,5794135.2330,51.8280,
HP_FERTIG_OBERKANTE,51.72,HÖHEN,4462760.5290,5794135.9460,51.8550,
HP_FERTIG_OBERKANTE,51.65,HÖHEN,4462761.6710,5794134.0920,51.7940,
HP_FERTIG_OBERKANTE,51.65,HÖHEN,4462762.7240,5794133.6790,51.7880,
HP_FERTIG_OBERKANTE,51.65,HÖHEN,4462758.3970,5794131.4020,51.7940,
HP_FERTIG_OBERKANTE,51.54,HÖHEN,4462762.3860,5794127.4140,51.6770,
HP_FERTIG_OBERKANTE,51.55,HÖHEN,4462762.5110,5794129.6370,51.6910,
HP_FERTIG_OBERKANTE,51.66,HÖHEN,4462758.3940,5794129.6040,51.7950,
HP_FERTIG_OBERKANTE,51.60,HÖHEN,4462760.3560,5794129.2560,51.7410,
HP_FERTIG_OBERKANTE,51.74,HÖHEN,4462754.6580,5794134.8020,51.8850,
HP_FERTIG_OBERKANTE,51.73,HÖHEN,4462759.2400,5794141.1640,51.8700,
HP_FERTIG_OBERKANTE,51.76,HÖHEN,4462759.1130,5794142.7590,51.8950,
HP_FERTIG_OBERKANTE,51.76,HÖHEN,4462755.1030,5794142.5580,51.9030,
HP_FERTIG_OBERKANTE,51.72,HÖHEN,4462756.3670,5794139.4220,51.8620,
HP_FERTIG_OBERKANTE,51.80,HÖHEN,4462761.4240,5794144.0270,51.9420,
HP_FERTIG_OBERKANTE,51.76,HÖHEN,4462765.7350,5794144.7090,51.8970,
HP_FERTIG_OBERKANTE,51.77,HÖHEN,4462767.4780,5794143.2720,51.9050,
HP_FERTIG_OBERKANTE,51.84,HÖHEN,4462761.5220,5794146.9410,51.9820,
HP_FERTIG_OBERKANTE,51.80,HÖHEN,4462764.5120,5794146.0150,51.9440,
HP_FERTIG_OBERKANTE,51.87,HÖHEN,4462749.6410,5794139.3580,52.0120,
HP_FERTIG_OBERKANTE,51.81,HÖHEN,4462748.4750,5794138.0260,51.9470,
HP_FERTIG_OBERKANTE,51.80,HÖHEN,4462751.8560,5794136.9040,51.9350,
HP_FERTIG_OBERKANTE,51.84,HÖHEN,4462749.9550,5794137.6990,51.9750,
HP_FERTIG_OBERKANTE,51.83,HÖHEN,4462747.7690,5794141.5490,51.9700,
HP_FERTIG_OBERKANTE,51.76,HÖHEN,4462753.9830,5794139.5100,51.9040,
HP_FERTIG_OBERKANTE,51.75,HÖHEN,4462755.4480,5794141.3450,51.8900,
HP_FERTIG_OBERKANTE,51.86,HÖHEN,4462752.1700,5794141.1910,52.0030,
HP_FERTIG_OBERKANTE,51.86,HÖHEN,4462751.6610,5794139.4480,51.9980,
HP_FERTIG_OBERKANTE,51.63,HÖHEN,4462760.0960,5794132.4800,51.7740,
